RecordID,Year_Sort,Year,Month,Day,Circa,DatingNotes,Place,Diocese,Province,CountryModern,Jurisdiction_ID,Jurisdiction_ID2,Jurisdiction_ID3,Latitude,Longitude,PlaceNotes,Classification,IssuingAuthority,IssuingAuthorityAlt,RegnalStart,RegnalEnd,Delegated,ClassificationNotes,Language,LanguageNotes,TextNeeded,NoKnownText,Fragment,Source,SourceOther,Edition,EditionOther,SourceNotes,TranscriptionNotes,BaseText,OCR,Transcription,GeneralNotes,BiblioRefs
1,1274,1274,10,29,,,Salzburg,Salzburg,Salzburg,Austria,,,,47.8025,13.045833,,Provincial,Frederick II of Walchen,,1270,1284,,,Latin,,,,,,,"Dalham, Concilia, 117-125","Hartzheim III, 639-44",https://books.google.com/books?id=D9JEAAAAcAAJ,In Process,GoogleBooksData CaptureWebDownload,Yes,,,
2,1277,1277,,,,"Hartzheim gives date as 1227; redated by Heydenreich, Trierer Synodalstatuten, to 1277; supported by Johanek, Pariser Statuten, 340-41; ",Trier,Trier,Trier,Germany,,,,49.7596,6.6439,,Provincial,Heinrich I von Finstingen,,1260,1286,,,Latin,c. 1 contains Middle High German,,,,,,"Blattau, Statuta synodalia, I, 14-30","Hartzheim III, 526-35",http://books.google.com/books?id=dow-AAAAcAAJ,Reviewed ,GoogleBooksData CaptureWebDownload,Yes,,,
3,1274,1274x1275,,,Yes,,Mainz,Mainz,Mainz,Germany,,,,49.98,8.2791,,Provincial,Werner von Eppstein,,1259,1284,,,Latin,,,,,"Oxford, Bodleian Library, MS Laud 401, fols. 1r-6v","Leipzig, Universitätsbibliothek, lat. 1085, fols. 33r-37r","Johanek, Synodalia III, Anhang II, Nr 1 (SS 71-106)",,,Reviewed ,Library ScanOtherDigital MS,,,,
4,1279,1279,,,,,Münster,Münster,Cologne,Germany,D541,,,51.962944,7.628694,,Diocesan,,,,,,,Latin,,,,,,,"Hartzheim III, 644-53",,,In Process,GoogleBooks,,,,
5,1281,1281,11,18,,,Salzburg,Salzburg,Salzburg,Austria,,,,47.8025,13.045833,,Provincial,Frederick II of Walchen,,1270,1284,,,Latin,,,,,,,"Dalham, Concilia, 125-130","Hartzheim III, 653-56",https://books.google.com/books?id=D9JEAAAAcAAJ,In Process,GoogleBooksData CaptureWebDownload,Yes,,,
6,1281,1281,,,,,Cologne,Cologne,Cologne,Germany,D538,,,50.94257,6.958976,,Diocesan,Siegfried von Westerburg,,,,,,Latin,,,,,,,"Hartzheim III, 657-71",,,In Process,GoogleBooks,,,,
7,1284,1284,3,17,,,Sankt Pölten ,Passau,Salzburg,Germany,D570,,,48.2,15.625,,Diocesan,Gottfried I.,,,,,,Latin,,,,,,,"Hartzheim III, 673-82","Hieronymus Pez, Scriptores rerum Austriacarum, vol. II, coll. 519-533. Leipzig: sumptibus Joh. Frid. Gleditschii B. filii. 1725. ",,In Process,GoogleBooks,,,,
8,1286,1286,,,,,Naumburg,Naumburg-Zeitz,Magdeburg,Germany,D548,,,51.1525,11.81,,Diocesan,,,,,,,Latin,,,,,,,"Hartzheim III, 682-83",,,In Process,GoogleBooks,,,,
9,1287,1287,,,,,Würzburg,Würzburg,Mainz,Germany,,,,49.788,9.936,,Legatine,Giovanni Boccamazza,,,,,"issued by Giovanni Boccamazza, bishop of Tusculum",Latin,,,,,,,"Hartzheim III, 724-37",,"-text survives in at least 52 MSS (see Johanek, Synodalia, III, Anhang I, 56-59)",In Process,GoogleBooks,,,,
10,1288,1288,11,11,,Nov 9-13,Salzburg,Salzburg,Salzburg,Austria,,,,47.8025,13.045833,,Provincial,Rudolf of Hoheneck,,1284,1290,,,Latin,,,,,"Vorau, Stiftsbibliothek, Cod 329, fols. 137v-142r","Zwettl, Stiftsbibliothek, Cod 278, fols. 53v-62v","Johanek, Synodalia III, Anhang II, 107-130; ","Hartzheim III, 737-39 (deficient)"," Johanek's edition is based on the Vorau MS, which dates from late 13th-c",Reviewed ,Library ScanOther,,,,
11,1290,1290,8,31,,,Wrocław,Wrocław,Gniezno,Poland,D537,,,51.116667,17.033333,,Diocesan,Thomas of Wrocław,,1232,1268,,,Latin,,,,,,,"Sawicki X, 333-36",,,Reviewed ,Library ScanHard Copy Scan,Yes,,,
12,1292,1292,3,17,,,Bremen,Bremen,Bremen,Germany,,,,53.075833,8.8075,,Provincial,Gisilbertus,,,,,,Latin,,,,,,,"Hartzheim IV, 583-86","Mansi 24, coll 1093-98",,In Process,GoogleBooks,,,,
13,1298,1298,,,,,Mainz,Mainz,Mainz,Germany,,,,49.98,8.2791,,Provincial,Gerhard II,,,,,,Latin,,,,,,,"Hartzheim IV, 587-90",,,In Process,GoogleBooks,,,,
14,1293,1293,4,21,,,Utrecht,Utrecht,Cologne,Netherlands,D543,,,52.083,5.1,,Diocesan,Jan van Zyrik,,,,,,Latin,,,,,,,"Joosting, Bronnen, V, 60-68","Hartzheim IV, 17-19",,Reviewed ,Data Capture,,,,
16,1300,1297x1304,,,Yes,date range from episcopal reign,Cologne,Cologne,Cologne,Germany,D538,,,50.94257,6.958976,,Diocesan,Wigbold von Holte,,1297,1304,,,Latin,,,,,,,"Hartzheim IV, 37-43",,https://books.google.com/books?id=kbNumdYKdrkC,In Process,GoogleBooksData CaptureWebDownload,,,,
17,1307,1307,2,13,,"Given incorrectly as 1306 in Hartzheim; for discussion, see Unger, 234-44, and 289",Cologne,Cologne,Cologne,Germany,D538,,,50.94257,6.958976,,Diocesan,Heinrich von Virneburg,,1304,1332,,,Latin,,,,,,,"Hartzheim IV, 99-106 ",,https://books.google.com/books?id=kbNumdYKdrkC,In Process,GoogleBooksData Capture,,,,
18,1310,1310,,,,,Trier,Trier,Trier,Germany,,,,49.7596,6.6439,,Provincial,Baldwin of Luxembourg,,1307,1354,,,Latin,,,,,,,"Blattau, Statuta synodalia, I, 63-155","Hartzheim IV, 127-65",https://books.google.com/books?id=dow-AAAAcAAJ,Reviewed ,GoogleBooksData CaptureWebDownload,Yes,,,
19,1310,1310,5,13,,May 11-13,Mainz,Mainz,Mainz,Germany,,,,49.98,8.2791,,Compilation (Provincial),Peter von Aspelt,,,,,,Latin,,,,,,,"Hartzheim IV, 174-223",,,In Process,GoogleBooksData Capture,,,,
20,1311,1310/1311,,,Yes,issued between 5 November 1310 and 1 October 1311,Cambrai,Cambrai,Reims,France,D430,,,50.175579,3.2345,,Diocesan,,,,,,,Latin,,,,,"Tilburg, Universiteitsbibliotheek (olim Bibliotheek Theologische Faculteit), MS 15, fol. 33r-36v",,"Hartzheim IV, 236-42",,,In Process,GoogleBooksData Capture,,check Hartzheim against Tilburg MS,"Caspars, Synodale Statuten, 88-89",
