"2","1277","","","","Hartzheim gives date as 1227; redated by Heydenreich, Trierer Synodalstatuten, to 1277; supported by Johanek, Pariser Statuten, 340-41; ","Trier","Trier","Trier","Germany","49.7596","6.6439","","Provincial","Heinrich I von Finstingen","","1260","1286","","","Latin","c. 1 contains Middle High German","","","","","","Blattau, Statuta synodalia, I, 14-30","Hartzheim III, 526-35","http://books.google.com/books?id=dow-AAAAcAAJ","","GoogleBooksWebDownload","Yes","Reviewed ","",""
"10","1288","11","11","","","Salzburg","Salzburg","Salzburg","Austria","47.8025","13.045833","","Provincial","Rudolf of Hoheneck","","1284","1290","","","","","","","","Vorau, Stiftsbibliothek, Cod 329, fols. 137v-142r; and Zwettl, Stiftsbibliothek, Cod 278, fols. 53v-62v; Johanek's edition based on the former, which dates from late 13th-c","","Johanek, Synodalia III, Anhang II, 107-130; ","deficient text in Hartzheim III, 737-39","","","Library ScanOther","","Reviewed ","",""
"14","1293","4","21","","","Utrecht","Utrecht","Cologne","Netherlands","52.083","5.1","","Diocesan","Jan van Zyrik","","","","","","Latin","","","","","","","Joosting, Bronnen, V, 60-68","Hartzheim IV, 17-19","","","Data Capture","","Completed","",""
"15","1294","","","","","Sankt Pölten ","Passau","Salzburg","Germany","48.2","15.625","","Diocesan","","","","","","","Latin","","","","","","","Mansi 24, 1115-16","","","","GoogleBooksData Capture","","Reviewed ","",""
"18","1310","","","","","Trier","Trier","Trier","Germany","49.7596","6.6439","","Provincial","Baldwin of Luxembourg","","1307","1354","","","Latin","","","","","","","Blattau, Statuta synodalia, I, 63-155","Hartzheim IV, 127-65","https://books.google.com/books?id=dow-AAAAcAAJ","","GoogleBooksWebDownload","Yes","Completed","",""
"22","1323","10","18","","dated 1324 in Hartzheim","Cambrai","Cambrai","Reims","Belgium","50.175579","3.2345","","Diocesan","Pierre de Lévis-Mirepoix","","1309","1324","","","Latin","","","","","BnF lat 1592, fol. 27v-28v","","Reusens, Statuta, 83-86","Hartzheim IV, 286-88; Gousset, APER II, 515-518","https://books.google.com/books?id=L9U-AAAAcAAJ","","GoogleBooksLibrary ScanWebDownloadDigital MS","Yes","Reviewed ","MS (and Reusens ed.) has additional passage at end not given in Gousset edition",""
"23","1355","5","13","","","Utrecht","Utrecht","Cologne","Netherlands","52.083","5.1","","Diocesan","Jan van Arkel","","","","","","Latin","","","","","","","Joosting, Bronnen, V, 140-41","Hartzheim IV, 378-80","","","Data Capture","","Completed","",""
"30","1283","10","1","","","Cambrai","Cambrai","Reims","France","50.175579","3.2345","","Diocesan","Enguerrand II de Créqui","","1274","1286","","","Latin","","","","","","","Avril, Statuts, IV, 109-111","Boeren, Anciens statuts, III, 408-410","","","Hard Copy Scan","Yes","Reviewed ","Additiones",""
"32","1292","","","Yes","first redaction in 1292-1293, with additions and corrections in 1294-1295 (see Avril, Bourges, 210)","Mende","Mende","Bourges","France","44.51944","3.50139","","Liber Synodalis","William Durand","Guglielmus Durantis","","","","Instructiones (first part of the text)","Latin","","","","","","","Avril, Bourges, 209-311","Instructions et constitutions de Guillaume Durand le Spéculateur publiées d’après le manuscrit de Cessenon. Eds. Jos. Berthelé and M. Valmary. Montpellier: Delord-Boehm et Martial, 1900. [=Mémoires de l’Académie des sciences et lettres de Montpellier, ser. 2, 3 (1905): 1-148.])","","","Hard Copy Scan","Yes","Completed","",""
"33","1279","","","","","Södertälje","Strängnäs","Uppsala","Sweden","59.183333","17.666663","previously known as Tälje","Provincial","Jakob","Jacobus Israelis ","1277","1281","","","Latin","","","","","","","SDHK-nr: 1070","Diplomatarium Suecanum, no. 692 [=I, 558-566]","https://sok.riksarkivet.se/sdhk SDHK-nr: 1070https://books.google.com/books?id=EnWyZimmPqsC","","Other","","Reviewed ","",""
